CID,NDVI,LST
1,0.318662,50.6167984
2,0.251816,42.1913986
2,0.28936,51.1226997
2,0.245439,43.7994995
3,0.324006,46.0674019
3,0.267075,41.0890999
3,0.293427,45.3769989
3,0.274788,41.7709999
3,0.260397,47.2739983
3,0.271104,46.5253983
3,0.268342,46.7338982
3,0.267106,45.216301
3,0.303527,41.9760017
3,0.256946,48.0976982
4,0.168233,54.8244019
4,0.148346,51.1772995
4,0.187628,53.7374992
4,0.183417,51.2593994
4,0.228702,50.9585991
4,0.139717,55.7438011
4,0.267845,54.3013992
4,0.1586,56.3180008
4,0.254504,48.5386009
4,0.19753,54.7252998
4,0.224089,50.7877007
4,0.498026,39.6278
4,0.119283,56.3180008
4,0.228982,51.266201
4,0.107708,59.4147987
4,0.155302,51.782299
4,0.169373,50.8936005
4,0.152368,56.3078003
4,0.170622,51.4814987
4,0.135782,55.6413002
4,0.196002,53.587101
4,0.140509,55.2686996
4,0.120279,58.2286987
4,0.229162,50.4630013
4,0.172992,52.6026993
4,0.226164,53.5461006
4,0.161267,50.9687996
4,0.142962,59.2815018
4,0.16536,54.1680984
4,0.161832,54.5918999
4,0.209672,50.6920013
4,0.206265,52.4043999
4,0.154406,51.703701
4,0.162667,54.8550987
4,0.162367,55.026001
4,0.175921,53.2588997
4,0.121177,56.7419014
4,0.16808,53.8161011
4,0.106484,56.8409996
1,0.159932,47.4243011
1,0.212318,47.6892014
1,0.131152,46.0024986
2,0.207838,45.4674988
2,0.172212,48.5181007
2,0.250764,44.7583008
2,0.21028,44.0405006
2,0.208411,51.6660995
2,0.212391,49.4564018
2,0.177785,48.2770996
2,0.214991,47.6226006
2,0.179624,51.1910019
2,0.213686,45.7871017
2,0.217926,46.6519012
2,0.138716,47.1851006
2,0.192947,22.3400002
2,0.233906,45.9528999
2,0.175525,50.7176018
2,0.186698,49.3059998
2,0.203362,47.8190994
2,0.228833,49.2426987
2,0.197694,50.2887001
2,0.231777,46.0674019
2,0.197404,52.9375992
2,0.215958,52.3564987
2,0.183337,51.3550987
2,0.165867,50.3125992
2,0.214372,47.9062996
2,0.195479,50.0802002
2,0.216595,46.8312988
2,0.169357,51.5157013
2,0.137236,54.0177002
2,0.229028,43.0116997
2,0.188952,48.6856003
2,0.216095,45.5751991
3,0.230532,44.3857002
3,0.229196,41.7299004
3,0.243186,42.3348999
3,0.217648,44.2900009
3,0.240189,44.7599983
3,0.238436,42.1487007
3,0.204939,42.0323982
3,0.256897,43.1791992
3,0.231725,42.6254997
3,0.253856,42.3674011
3,0.225376,40.7762985
3,0.237345,43.1758003
3,0.223176,42.6528015
3,0.227098,44.2011986
4,0.182464,56.2223015
0,0.133152,38.394001
0,0.120177,40.3832016
0,0.128076,38.1137009
0,0.156484,36.4524994
1,0.211621,43.6645012
1,0.193699,38.3188019
2,0.237756,46.8671989
2,0.230324,43.6884003
2,0.237614,42.7998009
2,0.23053,44.2080002
2,0.169182,46.3614006
2,0.230401,42.4033012
2,0.190039,53.4435005
2,0.227519,44.8403015
2,0.241584,42.3793983
2,0.233207,42.6631012
2,0.148816,50.3843994
2,0.189222,48.7504997
2,0.26686,42.7142982
2,0.211541,45.5239983
2,0.231328,44.8813019
2,0.27344,48.4121017
2,0.230231,46.6450996
2,0.235938,49.8512001
2,0.199332,48.4532013
2,0.218438,51.1977997
2,0.202838,45.3240013
2,0.185753,49.3213997
2,0.161783,49.7691002
2,0.238677,46.1529007
2,0.233912,43.0903015
2,0.197382,49.1094017
2,0.245379,42.7757988
2,0.261133,49.0239983
2,0.224649,48.4771004
3,0.252359,42.2972984
3,0.241353,42.6425018
3,0.251384,42.6118011
3,0.26782,38.8792992
3,0.274145,40.0481987
3,0.250464,37.8504982
3,0.260987,39.2142982
3,0.241734,46.6791992
3,0.243746,43.722599
3,0.248979,43.8558998
3,0.195826,37.3344002
3,0.245275,41.4906998
3,0.229164,39.9012985
3,0.256326,40.7010994
3,0.258714,43.0663986
3,0.217243,42.4169998
3,0.2159,39.8157997
3,0.230637,41.3437004
3,0.255432,39.733799
3,0.257128,40.6533012
3,0.251184,44.7275009
3,0.232453,36.5004005
3,0.255267,43.4048004
3,0.306824,42.8885994
3,0.201824,43.4115982
3,0.235115,41.1898994
3,0.219217,40.0209007
3,0.239053,40.1645012
3,0.258657,40.8754005
3,0.223652,37.6419983
3,0.235131,43.2338982
3,0.205218,45.0625
3,0.31532,43.3158989
3,0.233897,40.5335999
3,0.251951,40.0209007
3,0.232857,38.0760994
3,0.241359,41.1385994
3,0.228998,43.9345016
3,0.234717,42.7280006
3,0.236406,36.2029991
3,0.250087,39.7475014
3,0.226819,42.6425018
0,0.006686,37.5770988
0,-0.0109269,35.9603004
0,0.161429,36.360199
0,0.220778,44.0746994
0,0.0457774,39.8089981
0,0.0631694,39.2039986
0,0.135665,40.9744987
0,0.266177,42.8647003
0,0.11368,-9999
0,0.0430543,38.5512009
0,0.0227357,37.4916
0,0.103643,40.6839981
1,0.256319,46.2246017
1,0.198003,46.969799
1,0.188087,50.1997986
1,0.190465,51.1072998
1,0.216263,47.6021004
1,0.17639,47.0056992
1,0.22501,45.5718002
1,0.21655,44.419899
1,0.282053,40.9403992
1,0.241206,44.5224991
1,0.223493,42.1058998
1,0.234032,49.3897018
1,0.192867,44.7344017
1,0.20508,50.8390007
2,0.225527,42.9262009
2,0.200668,46.4622002
2,0.130962,45.216301
2,0.266219,45.2504997
2,0.240915,48.2104988
2,0.21095,46.2486
2,0.239115,45.3325005
2,0.234219,46.3544998
2,0.25887,43.7192001
2,0.229321,46.0811005
2,0.182213,43.3637009
2,0.205625,41.3368988
2,0.202069,46.5049019
2,0.270141,43.5107002
2,0.203116,43.0321999
2,0.231366,44.0985985
2,0.225102,45.1820984
2,0.244186,44.5054016
2,0.155412,43.821701
2,0.204086,48.5489006
2,0.210221,43.4560013
2,0.240109,45.964901
2,0.223774,44.0848999
3,0.267079,41.3813019
3,0.244991,41.5965996
3,0.21488,44.8334999
3,0.243633,43.6405983
3,0.213998,42.6118011
3,0.271621,37.1259003
3,0.238771,41.9418983
3,0.235475,41.0993004
3,0.245058,44.5601006
3,0.239167,44.0354004
3,0.23757,43.1278992
3,0.252182,40.5951996
3,0.283485,34.9758987
3,0.210968,45.9819984
3,0.238002,-9999
3,0.236191,44.0575981
3,0.272169,47.0091019
3,0.214055,40.1679001
3,0.299297,37.9291
3,0.220378,41.1506004
3,0.224147,42.4751015
